ObjectId,Indicator,Unit,Date,Value
67,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M06,319.77
68,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M06,0.06
69,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M07,318.57
70,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M07,0.12
71,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M08,316.79
72,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M08,0.28
73,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M09,314.99
74,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M09,0.26
75,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M10,315.31
76,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M10,0.47
77,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M11,316.1
78,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M11,0.35
79,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1961M12,317.01
80,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1961M12,0.26
81,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M01,317.94
82,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M01,0.33
83,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M02,318.55
84,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M02,0.27
85,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M03,319.68
86,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M03,0.36
87,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M04,320.57
88,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M04,0.34
89,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M05,321.02
90,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M05,0.14
91,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M06,320.62
92,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M06,0.27
93,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M07,319.61
94,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M07,0.33
95,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M08,317.4
96,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M08,0.19
97,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M09,316.25
98,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M09,0.4
99,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M10,315.42
100,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M10,0.03
101,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M11,316.69
102,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M11,0.19
103,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1962M12,317.7
104,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1962M12,0.22
105,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M01,318.74
106,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M01,0.25
107,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M02,319.07
108,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M02,0.16
109,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M03,319.86
110,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M03,0.06
111,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M04,321.38
112,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M04,0.25
113,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M05,322.25
114,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M05,0.38
115,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M06,321.48
116,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M06,0.27
117,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M07,319.74
118,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M07,0.04
119,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M08,317.77
120,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M08,0.12
121,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M09,316.21
122,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M09,-0.01
123,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M10,315.99
124,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M10,0.18
125,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M11,317.07
126,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M11,0.12
127,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1963M12,318.35
128,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1963M12,0.2
129,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M01,319.57
130,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M01,0.26
131,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M02,320.01
132,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M02,0.29
133,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M03,320.74
134,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M03,0.28
135,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M04,321.84
136,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M04,0.14
137,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M05,322.26
138,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M05,0
139,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M06,321.89
140,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M06,0.13
141,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M07,320.44
142,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M07,0.22
143,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M08,318.69
144,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M08,0.29
145,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M09,316.7
146,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M09,0.15
147,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M10,316.87
148,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M10,0.28
149,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M11,317.68
150,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M11,0.19
151,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M12,318.71
